N_features,Depth,Learning Rate,N_trees,AUC_vl,Pr_vl
33,3,0.1,500,0.98740034,0.293900709
31,8,0.01,1000,0.987245307,0.289952421
32,7,0.01,1000,0.987244718,0.28979021
35,3,0.1,500,0.987301236,0.2890625
29,3,0.1,1000,0.987428587,0.288659794
32,3,0.1,600,0.987450864,0.288659794
33,10,0.01,800,0.987214328,0.288659794
20,3,0.1,900,0.985990995,0.288418708
27,4,0.1,500,0.987332331,0.288418708
33,3,0.1,900,0.98700154,0.288338436
35,9,0.01,1000,0.987234292,0.288338436
33,9,0.01,1000,0.987155497,0.288178025
25,4,0.1,600,0.985552378,0.288097887
34,6,0.1,200,0.987141498,0.287937743
32,2,0.1,900,0.987226618,0.287777778
28,4,0.1,500,0.987408331,0.287697862
35,3,0.1,800,0.986977714,0.28745838
33,2,0.1,1000,0.987094582,0.28713969
33,2,0.1,700,0.987353805,0.286821705
30,5,0.1,600,0.985774856,0.286742319
32,3,0.1,1000,0.987179747,0.286742319
34,3,0.1,600,0.98705535,0.286742319
14,2,0.1,1000,0.987031423,0.286266925
35,10,0.01,800,0.987288653,0.286266925
32,3,0.1,900,0.987044594,0.28610881
34,2,0.1,900,0.987335389,0.28610881
23,2,0.1,900,0.986767015,0.285950869
31,4,0.1,400,0.986750016,0.285871965
28,4,0.1,300,0.987037899,0.285793103
34,7,0.01,1000,0.987392691,0.285714286
34,9,0.01,600,0.987496884,0.285556781
23,2,0.1,1000,0.986900935,0.285478093
25,2,0.1,1000,0.986898087,0.285478093
31,2,0.1,1000,0.987365476,0.285399449
35,6,0.01,900,0.98742139,0.285399449
27,4,0.1,700,0.986627188,0.285320848
25,8,0.01,1000,0.987334736,0.285320848
32,4,0.1,400,0.98746519,0.285320848
29,4,0.1,600,0.987084766,0.285163776
29,9,0.01,900,0.987175549,0.285163776
34,8,0.01,900,0.987448766,0.285163776
33,2,0.1,800,0.987380863,0.285085305
27,2,0.1,800,0.98714216,0.285006878
30,4,0.1,400,0.986889595,0.285006878
29,2,0.1,800,0.986999417,0.284928493
35,8,0.01,900,0.987512534,0.284928493
31,2,0.1,900,0.98708255,0.284850151
34,8,0.01,800,0.987461246,0.284850151
33,3,0.1,700,0.98734726,0.284771853
34,3,0.1,900,0.9872303,0.284771853
24,3,0.1,800,0.986840035,0.284615385
31,8,0.01,900,0.98734614,0.284537215
32,2,0.1,1000,0.98735732,0.284459088
35,5,0.1,400,0.986535056,0.284381005
35,3,0.1,1000,0.987300432,0.284302964
23,3,0.1,500,0.987130401,0.284224966
19,3,0.1,900,0.987020496,0.28414701
28,3,0.1,800,0.987356444,0.28414701
29,3,0.1,700,0.98747544,0.284069098
35,7,0.01,900,0.987304323,0.283991228
25,4,0.1,700,0.986894323,0.283913401
27,2,0.1,1000,0.987094393,0.283913401
20,3,0.1,800,0.987331946,0.283835616
20,10,0.01,1000,0.987031583,0.283757875
34,10,0.01,900,0.987319661,0.283757875
26,4,0.1,400,0.986740117,0.283680175
32,7,0.01,700,0.987294219,0.283680175
34,8,0.01,500,0.98713883,0.283680175
31,3,0.1,700,0.987184406,0.283524904
34,2,0.1,1000,0.987304245,0.283292316
29,8,0.01,900,0.987300505,0.283292316
19,3,0.1,1000,0.986688726,0.283214872
34,5,0.1,300,0.987161969,0.283214872
35,2,0.1,900,0.987384807,0.283214872
31,9,0.01,1000,0.987140889,0.283214872
28,3,0.1,900,0.987051625,0.283060109
24,8,0.01,1000,0.987091427,0.283060109
33,4,0.1,300,0.98715186,0.283060109
