N_features,Depth,Learning_rate,N_trees,R2_tr,R2_vl,MSE_tr,MSE_vl
40,7,0.1,1000,-1.288412919,-1.419206636,9.180146041,9.784021438
39,7,0.1,1000,-1.296565462,-1.436769364,9.2128506,9.855050555
37,7,0.1,1000,-1.317497443,-1.443132946,9.296820867,9.880786852
34,7,0.1,1000,-1.316369669,-1.444008366,9.292296714,9.884327321
36,7,0.1,1000,-1.322334285,-1.453518199,9.316224233,9.922788034
35,7,0.1,1000,-1.33931084,-1.457647914,9.384327001,9.939489879
38,7,0.1,1000,-1.328690256,-1.462305729,9.341721706,9.958327528
37,7,0.1,900,-1.354572081,-1.466446366,9.445548653,9.97507355
40,7,0.1,900,-1.343210027,-1.467896259,9.399968891,9.980937367
34,7,0.1,900,-1.372966219,-1.482468835,9.519338167,10.03987338
38,7,0.1,900,-1.370667025,-1.483302271,9.51011477,10.04324405
40,7,0.1,800,-1.384713085,-1.484468817,9.566461632,10.04796192
39,7,0.1,900,-1.361392107,-1.48842657,9.472907716,10.0639683
33,7,0.1,1000,-1.378656198,-1.501791223,9.542163959,10.1180191
31,7,0.1,1000,-1.384064903,-1.502475366,9.563861398,10.12078599
39,7,0.1,800,-1.404953423,-1.503639171,9.647657319,10.12549278
32,7,0.1,1000,-1.383321924,-1.504816269,9.56088088,10.13025333
29,7,0.1,1000,-1.385304018,-1.507108771,9.568832204,10.13952492
33,7,0.1,900,-1.392445862,-1.508450186,9.597482266,10.14495001
30,7,0.1,1000,-1.394053102,-1.515701729,9.603929835,10.1742775
35,7,0.1,900,-1.406385004,-1.521904444,9.653400216,10.1993632
36,7,0.1,800,-1.42391718,-1.527696734,9.7237319,10.22278902
36,7,0.1,900,-1.400849711,-1.530537251,9.631194959,10.23427695
29,7,0.1,900,-1.426767198,-1.53094189,9.735164971,10.23591344
38,7,0.1,800,-1.418314138,-1.533522823,9.701254862,10.24635153
28,7,0.1,1000,-1.421841691,-1.534866779,9.715405916,10.25178691
26,7,0.1,1000,-1.420452982,-1.537785989,9.709835003,10.2635931
31,7,0.1,900,-1.425441181,-1.539349363,9.729845549,10.26991586
34,7,0.1,800,-1.449531646,-1.539890917,9.826486319,10.27210607
27,7,0.1,1000,-1.431821065,-1.541028318,9.755438948,10.27670608
32,7,0.1,900,-1.437149693,-1.541290506,9.776815154,10.27776645
37,7,0.1,800,-1.427280047,-1.543809913,9.737222304,10.28795571
35,7,0.1,800,-1.448652543,-1.545047606,9.82295973,10.29296132
25,7,0.1,1000,-1.439824033,-1.547238804,9.787543476,10.30182321
31,7,0.1,800,-1.457120287,-1.550354208,9.856928742,10.31442287
26,7,0.1,900,-1.440450938,-1.552915166,9.790058356,10.32478017
