N_features,N_trees,R2_tr,R2_vl,MSE_tr,MSE_vl
10,800,-0.436056754,-0.669847396,5.760853129,6.753380417
12,900,-0.44356989,-0.675945222,5.790992659,6.778041915
12,1000,-0.451028034,-0.676005979,5.820911579,6.778287637
12,800,-0.449364848,-0.680334657,5.814239582,6.795794153
27,700,-0.468879848,-0.681642472,5.892525518,6.801083362
12,600,-0.459969879,-0.682905282,5.856782484,6.806190555
10,300,-0.450594767,-0.683023183,5.819173498,6.806667385
13,1000,-0.46722328,-0.683479469,5.885880066,6.808512747
15,800,-0.457046552,-0.683666059,5.845055333,6.809267372
10,200,-0.453807303,-0.684194105,5.832060835,6.811402957
10,700,-0.453332977,-0.684343946,5.830158038,6.812008961
11,800,-0.454418446,-0.684517053,5.834512481,6.812709056
15,400,-0.459595285,-0.685582739,5.855279775,6.817019021
11,600,-0.460868993,-0.685977455,5.860389353,6.818615376
20,900,-0.462010993,-0.686418431,5.864970573,6.820398819
33,400,-0.467164875,-0.686452749,5.885645772,6.820537611
10,100,-0.4527051,-0.686600632,5.82763926,6.821135695
36,200,-0.48712841,-0.687555795,5.965731041,6.82499867
14,500,-0.464090991,-0.687683624,5.873314645,6.82551565
17,300,-0.466202038,-0.687999758,5.881783277,6.826794197
11,900,-0.465618442,-0.688049106,5.879442134,6.826993772
13,900,-0.468775263,-0.688433972,5.892105967,6.82855029
12,200,-0.463542208,-0.688545835,5.871113161,6.829002699
10,400,-0.454767733,-0.688755744,5.835913672,6.829851635
10,600,-0.457662908,-0.689063283,5.847527892,6.831095421
21,200,-0.473028199,-0.689647499,5.909166949,6.833458171
14,800,-0.466028573,-0.689792215,5.881087409,6.834043447
28,900,-0.471031111,-0.689817872,5.901155478,6.834147212
26,800,-0.465257635,-0.689818095,5.877994729,6.834148113
11,200,-0.474903865,-0.689909675,5.91669133,6.834518491
13,200,-0.464046925,-0.690162895,5.873137872,6.835542591
35,600,-0.471468741,-0.690911008,5.902911064,6.838568191
35,700,-0.482796438,-0.69109822,5.948353,6.839325338
23,200,-0.472959173,-0.691431994,5.908890047,6.840675222
16,1000,-0.462981543,-0.691483681,5.868864009,6.84088426
15,600,-0.471323893,-0.691902479,5.902329993,6.842578008
15,700,-0.46196987,-0.692067075,5.864805604,6.843243686
30,1000,-0.466620439,-0.692068003,5.883461724,6.84324744
30,500,-0.476352278,-0.692422816,5.922501751,6.844682412
27,200,-0.476784264,-0.692950479,5.924234695,6.846816445
28,300,-0.470703171,-0.693587932,5.899839921,6.849394504
40,500,-0.488163331,-0.69365117,5.969882707,6.849650255
11,700,-0.469988633,-0.693855637,5.896973497,6.850477187
12,700,-0.468496442,-0.693959505,5.890987457,6.850897258
35,200,-0.481396726,-0.695074838,5.942737947,6.855408014
23,500,-0.477978391,-0.69510449,5.92902503,6.855527935
36,400,-0.483966868,-0.695486059,5.953048269,6.857071115
13,300,-0.468486563,-0.695896367,5.890947823,6.858730529
31,700,-0.487341509,-0.695981057,5.966585903,6.859073042
23,800,-0.476256406,-0.695989775,5.922117155,6.859108302
19,400,-0.482852714,-0.696158861,5.948578754,6.859792135
10,900,-0.469842301,-0.696310003,5.896386474,6.860403402
14,300,-0.463295313,-0.696612401,5.870122724,6.861626393
15,200,-0.470273342,-0.696613104,5.898115626,6.861629238
34,1000,-0.485172725,-0.696632273,5.957885658,6.86170676
29,400,-0.483402006,-0.696673077,5.950782283,6.861871785
27,300,-0.47389394,-0.697000905,5.912639938,6.863197622
18,300,-0.466661408,-0.697039658,5.883626073,6.863354353
34,700,-0.482518074,-0.697142444,5.947236319,6.863770051
16,900,-0.482288095,-0.697276144,5.946313742,6.864310775
28,500,-0.493009742,-0.69729444,5.98932446,6.864384771
21,400,-0.4771845,-0.697384586,5.925840272,6.864749349
21,700,-0.475313584,-0.697470281,5.918334949,6.865095926
34,500,-0.483808009,-0.697613898,5.952410993,6.865676757
24,700,-0.489075311,-0.697643644,5.973541185,6.86579706
17,800,-0.483047575,-0.697671295,5.949360453,6.865908887
10,500,-0.463129383,-0.697817517,5.869457083,6.866500256
14,400,-0.469375632,-0.697919081,5.894514395,6.866911011
27,400,-0.482705513,-0.697939885,5.947988246,6.86699515
12,300,-0.481139253,-0.697998767,5.941705073,6.867233285
19,500,-0.482380191,-0.698210662,5.946683192,6.868090258
29,500,-0.46941515,-0.698293065,5.894672922,6.868423518
27,500,-0.488856604,-0.698301604,5.972663826,6.868458055
35,900,-0.484128691,-0.698346642,5.953697436,6.868640203
11,400,-0.469457838,-0.698512584,5.894844171,6.869311323
36,600,-0.477964577,-0.698793354,5.928969612,6.870446842
12,400,-0.47772395,-0.698944113,5.928004318,6.871056557
11,1000,-0.475757665,-0.699443048,5.920116415,6.873074405
24,100,-0.479999771,-0.699541701,5.937133953,6.873473391
11,500,-0.455026927,-0.699890722,5.836953448,6.874884941
24,400,-0.466665594,-0.699901574,5.883642868,6.87492883
10,1000,-0.462569853,-0.700251368,5.867212485,6.876343502
25,300,-0.480542652,-0.700387914,5.93931176,6.876895739
39,200,-0.491011722,-0.700460768,5.981309249,6.877190381
20,300,-0.482739191,-0.700830067,5.948123348,6.878683942
24,500,-0.48048215,-0.70111704,5.939069051,6.87984455
29,1000,-0.476670139,-0.701200125,5.923776876,6.88018057
18,700,-0.46974298,-0.701315256,5.895988041,6.880646198
32,200,-0.484453547,-0.701379716,5.955000621,6.880906893
38,300,-0.492799857,-0.701441992,5.988482489,6.881158757
30,200,-0.486892539,-0.701549298,5.964784827,6.881592734
39,400,-0.490258385,-0.701563681,5.978287179,6.881650906
21,800,-0.467942603,-0.701602989,5.888765687,6.881809878
17,700,-0.477306183,-0.701627774,5.926328416,6.881910116
23,900,-0.484236405,-0.701711256,5.954129537,6.882247742
29,300,-0.474630444,-0.70173775,5.915594481,6.882354892
32,1000,-0.491064844,-0.701787942,5.98152235,6.882557887
18,500,-0.479039623,-0.701901831,5.933282242,6.883018488
19,900,-0.493679504,-0.702006861,5.992011262,6.883443263
34,900,-0.48346722,-0.702055058,5.951043891,6.883638185
30,600,-0.483458204,-0.70210317,5.951007725,6.883832763
22,500,-0.49325697,-0.702119735,5.990316235,6.883899759
13,700,-0.481153264,-0.702184239,5.941761278,6.884160631
38,400,-0.492566856,-0.702572028,5.987547788,6.885728974
14,1000,-0.477564298,-0.702697398,5.927363864,6.886236009
29,200,-0.48050798,-0.702828062,5.939172674,6.886764451
37,200,-0.490565642,-0.702951012,5.979519762,6.8872617
38,900,-0.483063888,-0.703170403,5.949425894,6.888148984
39,700,-0.485971031,-0.703323935,5.961088125,6.888769917
40,400,-0.479723505,-0.703330543,5.936025691,6.88879664
37,300,-0.503681896,-0.703379566,6.032136635,6.888994906
32,300,-0.498365027,-0.703392316,6.010807601,6.889046469
13,400,-0.484902768,-0.703557921,5.956802704,6.889716228
25,500,-0.483380375,-0.703598475,5.950695508,6.889880242
26,500,-0.493330909,-0.703738163,5.990612847,6.890445184
32,700,-0.474909559,-0.703845675,5.91671417,6.890879994
32,900,-0.482219412,-0.7038536,5.946038215,6.890912046
19,800,-0.472608592,-0.703988731,5.907483665,6.891458559
25,900,-0.484178856,-0.703998442,5.953898675,6.891497833
20,800,-0.483927703,-0.704084175,5.952891158,6.891844565
22,1000,-0.484197372,-0.704164219,5.953972952,6.892168284
32,800,-0.495182117,-0.704212908,5.998039111,6.892365198
12,500,-0.480737206,-0.704414146,5.94009223,6.893179068
21,300,-0.486581453,-0.704448194,5.96353688,6.893316768
33,700,-0.483539687,-0.704491053,5.951334601,6.893490103
39,500,-0.484525808,-0.704604509,5.9552905,6.893948954
13,600,-0.477209894,-0.704764674,5.925942144,6.894596712
40,800,-0.484145126,-0.704849365,5.953763366,6.89493923
15,1000,-0.485020346,-0.704890914,5.95727438,6.895107264
30,900,-0.485588298,-0.704909396,5.959552761,6.895182014
19,1000,-0.474119057,-0.705265064,5.913543011,6.896620442
31,1000,-0.480082358,-0.705335669,5.937465258,6.896905994
24,900,-0.488580971,-0.705359434,5.971558101,6.897002108
28,600,-0.488631043,-0.705437662,5.971758969,6.897318486
37,800,-0.490509418,-0.705601512,5.979294215,6.897981143
11,100,-0.478566186,-0.705675638,5.931383014,6.898280933
34,400,-0.492442392,-0.705725838,5.987048493,6.898483956
23,400,-0.493204911,-0.705864329,5.990107396,6.899044057
37,500,-0.494035684,-0.705975792,5.993440107,6.89949485
28,800,-0.475631815,-0.706019703,5.919611559,6.89967244
23,700,-0.485915813,-0.706236641,5.960866615,6.900549804
19,300,-0.481346514,-0.70639941,5.942536518,6.901208093
39,800,-0.491378113,-0.706472893,5.982779053,6.90150528
31,400,-0.478627438,-0.706627483,5.931628732,6.902130491
17,200,-0.487849107,-0.706680843,5.968622171,6.902346295
30,800,-0.486912677,-0.707295851,5.964865613,6.904833577
22,300,-0.49173821,-0.707311937,5.984223613,6.904898633
27,1000,-0.491403903,-0.707324693,5.982882512,6.90495022
37,700,-0.49991105,-0.707473453,6.017009591,6.905551854
19,200,-0.498254363,-0.707474839,6.010363664,6.905557459
38,500,-0.495460813,-0.707564186,5.999157122,6.905918807
17,400,-0.48890831,-0.707671489,5.972871247,6.906352771
31,300,-0.494795625,-0.707677915,5.99648867,6.906378763
16,700,-0.482165877,-0.707739151,5.945823454,6.906626418
33,500,-0.491024336,-0.707748971,5.981359851,6.906666136
36,300,-0.493976324,-0.707858076,5.993201979,6.907107389
26,100,-0.491285677,-0.707910933,5.982408238,6.907321158
16,300,-0.497741993,-0.708400171,6.008308254,6.909299789
36,100,-0.48939247,-0.708430741,5.974813494,6.909423425
21,100,-0.502751729,-0.708446237,6.028405196,6.909486094
17,900,-0.489249641,-0.708528325,5.974240525,6.909818081
38,600,-0.482220748,-0.708573967,5.946043574,6.910002673
22,600,-0.485277553,-0.708747535,5.958306183,6.910704637
34,200,-0.493180335,-0.708766296,5.990008806,6.910780511
35,800,-0.495592797,-0.708914006,5.999686587,6.911377898
36,800,-0.485527098,-0.708948099,5.959307253,6.911515781
39,900,-0.497705051,-0.708979114,6.008160055,6.911641214
22,100,-0.488133909,-0.709061627,5.969764677,6.911974922
14,900,-0.476608736,-0.709063094,5.923530551,6.911980853
13,800,-0.477259246,-0.709158432,5.926140124,6.91236643
22,700,-0.494569075,-0.709216089,5.995579846,6.912599613
35,500,-0.493722005,-0.709256038,5.992181757,6.912761182
16,500,-0.477947272,-0.709434714,5.928900194,6.913483803
28,400,-0.495161539,-0.709450879,5.997956563,6.913549178
16,400,-0.490641759,-0.709477203,5.979825114,6.91365564
22,800,-0.488548758,-0.709558029,5.971428876,6.913982526
36,500,-0.505227015,-0.709574749,6.038335001,6.914050145
40,1000,-0.492095201,-0.709688691,5.98565571,6.914510964
23,1000,-0.492671514,-0.709857863,5.987967634,6.915195146
36,700,-0.496180937,-0.710248561,6.002045957,6.916775249
