Cf,N_features,N_trees,R2_tr,R2_vl,MSE_tr,MSE_vl
0.375918367,40,600,0.709852783,0.064463997,19.80305159,64.66191026
0,40,600,0.709852783,0.064463997,19.80585163,64.66194095
0.187959184,40,600,0.709852783,0.064463997,19.80552006,64.66194095
0.939795918,40,600,0.709852783,0.064463997,19.76115842,64.66577305
0.751836735,40,600,0.709852783,0.064463997,19.78210939,64.66639012
0.563877551,40,600,0.709852783,0.064463997,19.79575403,64.66652106
1.127755102,40,600,0.709852783,0.064463997,19.73002549,64.67534185
1.315714286,40,600,0.709852783,0.064463997,19.69203335,64.68303881
1.503673469,40,600,0.709852783,0.064463997,19.64405641,64.68861098
1.691632653,40,600,0.709852783,0.064463997,19.58393353,64.73591706
1.879591837,40,600,0.709852783,0.064463997,19.51469894,64.76538596
0.751836735,36,600,0.717891205,0.062500116,19.23307313,64.79741116
0.187959184,36,600,0.717891205,0.062500116,19.25681902,64.79767933
0.375918367,36,600,0.717891205,0.062500116,19.25435124,64.79767933
0.563877551,36,600,0.717891205,0.062500116,19.24739809,64.79767933
0,36,600,0.717891205,0.062500116,19.25713775,64.79767953
1.127755102,36,600,0.717891205,0.062500116,19.18012028,64.80526119
0.939795918,36,600,0.717891205,0.062500116,19.21223811,64.80551618
1.315714286,36,600,0.717891205,0.062500116,19.1401957,64.81189183
2.06755102,40,600,0.709852783,0.064463997,19.44502411,64.83420192
1.503673469,36,600,0.717891205,0.062500116,19.08959793,64.84738915
0.375918367,34,900,0.720926848,0.061502864,19.04713879,64.86659154
0.563877551,34,900,0.720926848,0.061502864,19.04014059,64.86659154
0,34,900,0.720926848,0.061502864,19.04992057,64.8666072
0.187959184,34,900,0.720926848,0.061502864,19.04965049,64.8666072
0.939795918,34,900,0.720926848,0.061502864,19.00407305,64.87141736
0.751836735,34,900,0.720926848,0.061502864,19.02611875,64.87164702
1.127755102,34,900,0.720926848,0.061502864,18.9725985,64.87871811
1.315714286,34,900,0.720926848,0.061502864,18.93195995,64.88935547
1.503673469,34,900,0.720926848,0.061502864,18.87799689,64.90045353
2.255510204,40,600,0.709852783,0.064463997,19.36251357,64.92383331
1.691632653,36,600,0.717891205,0.062500116,19.02539967,64.93681038
1.691632653,34,900,0.720926848,0.061502864,18.81753074,64.94020074
1.879591837,34,900,0.720926848,0.061502864,18.74548409,64.96061944
1.879591837,36,600,0.717891205,0.062500116,18.95222403,64.97092194
0.563877551,38,200,0.715051213,0.05987299,19.44083018,64.97917758
0.187959184,38,200,0.715051213,0.05987299,19.45052768,64.97925202
0.375918367,38,200,0.715051213,0.05987299,19.44772035,64.97925202
0,38,200,0.715051213,0.05987299,19.45099956,64.97926002
0.751836735,38,200,0.715051213,0.05987299,19.42827727,64.98442666
0.751836735,39,500,0.712237647,0.059758876,19.62029494,64.98672631
0,39,500,0.712237647,0.059758876,19.64305749,64.98714733
0.187959184,39,500,0.712237647,0.059758876,19.64272895,64.98714733
0.375918367,39,500,0.712237647,0.059758876,19.64015788,64.98714733
0.563877551,39,500,0.712237647,0.059758876,19.63310374,64.98714733
1.127755102,38,200,0.715051213,0.05987299,19.378497,64.98977288
0.939795918,38,200,0.715051213,0.05987299,19.40672409,64.99153155
2.06755102,36,600,0.717891205,0.062500116,18.87373635,64.99263369
1.315714286,38,200,0.715051213,0.05987299,19.33736161,64.99696847
0.939795918,39,500,0.712237647,0.059758876,19.59873428,65.00257659
1.127755102,39,500,0.712237647,0.059758876,19.57017215,65.0201908
1.315714286,39,500,0.712237647,0.059758876,19.53425239,65.02758352
2.443469388,40,600,0.709852783,0.064463997,19.27966222,65.03309006
2.06755102,34,900,0.720926848,0.061502864,18.66341252,65.05204957
2.443469388,34,900,0.720926848,0.061502864,18.46584529,65.05314818
1.503673469,38,200,0.715051213,0.05987299,19.2886391,65.05534958
2.255510204,34,900,0.720926848,0.061502864,18.56434795,65.05738152
1.503673469,39,500,0.712237647,0.059758876,19.48378759,65.05888262
1.127755102,38,800,0.716247225,0.058596666,19.29489302,65.06639159
0.939795918,38,800,0.716247225,0.058596666,19.32460486,65.06663672
0.751836735,38,800,0.716247225,0.058596666,19.34462463,65.06704829
0.563877551,38,800,0.716247225,0.058596666,19.35940922,65.06741667
0,38,800,0.716247225,0.058596666,19.36935812,65.06747637
0.187959184,38,800,0.716247225,0.058596666,19.36904556,65.06747637
0.375918367,38,800,0.716247225,0.058596666,19.36646429,65.06747637
1.691632653,39,500,0.712237647,0.059758876,19.42502653,65.07497042
2.255510204,36,600,0.717891205,0.062500116,18.77677095,65.0850447
1.315714286,38,800,0.716247225,0.058596666,19.25214347,65.08793674
1.691632653,38,200,0.715051213,0.05987299,19.23840488,65.10553511
1.503673469,38,800,0.716247225,0.058596666,19.20299004,65.10632751
1.879591837,39,500,0.712237647,0.059758876,19.35488732,65.10655504
2.631428571,40,600,0.709852783,0.064463997,19.18155386,65.11729511
0.751836735,38,500,0.716040432,0.057852752,19.35820724,65.11879995
0,38,500,0.716040432,0.057852752,19.38347409,65.11889389
0.187959184,38,500,0.716040432,0.057852752,19.38314116,65.11889389
0.375918367,38,500,0.716040432,0.057852752,19.38055189,65.11889389
0.563877551,38,500,0.716040432,0.057852752,19.37295933,65.11889389
0.939795918,38,500,0.716040432,0.057852752,19.33755337,65.12531204
0.939795918,36,1000,0.715604862,0.057741051,19.36809728,65.12620648
0.751836735,36,1000,0.715604862,0.057741051,19.3899931,65.12638115
0.563877551,36,1000,0.715604862,0.057741051,19.40323098,65.12650473
0.375918367,36,1000,0.715604862,0.057741051,19.41032823,65.12658326
0,36,1000,0.715604862,0.057741051,19.4132067,65.12661439
0.187959184,36,1000,0.715604862,0.057741051,19.41291621,65.12661439
2.06755102,39,500,0.712237647,0.059758876,19.28475799,65.12941133
1.315714286,36,1000,0.715604862,0.057741051,19.29928551,65.13394629
2.255510204,39,500,0.712237647,0.059758876,19.2010414,65.13402031
1.127755102,36,1000,0.715604862,0.057741051,19.33782771,65.1355768
0.563877551,30,900,0.71390263,0.05756257,19.5195491,65.13885641
0.751836735,30,900,0.71390263,0.05756257,19.50625041,65.13885641
0.375918367,30,900,0.71390263,0.05756257,19.52658056,65.13891958
0,30,900,0.71390263,0.05756257,19.52940343,65.13895058
0.187959184,30,900,0.71390263,0.05756257,19.52910681,65.13895058
0,33,300,0.712001754,0.057493758,19.65915986,65.14370671
0.187959184,33,300,0.712001754,0.057493758,19.65878003,65.14370671
0.375918367,33,300,0.712001754,0.057493758,19.65624648,65.14370671
1.127755102,38,500,0.716040432,0.057852752,19.30862442,65.14410555
1.127755102,30,900,0.71390263,0.05756257,19.45561496,65.14523075
0.939795918,30,900,0.71390263,0.05756257,19.48528999,65.14743439
0.563877551,33,300,0.712001754,0.057493758,19.64943772,65.14814913
0.751836735,33,300,0.712001754,0.057493758,19.63579633,65.14814913
1.315714286,30,900,0.71390263,0.05756257,19.41508218,65.15451639
1.503673469,36,1000,0.715604862,0.057741051,19.24882841,65.15537525
0.939795918,33,300,0.712001754,0.057493758,19.61555432,65.1555344
0,39,900,0.715137173,0.057309016,19.44513181,65.1564756
0.187959184,39,900,0.715137173,0.057309016,19.44484181,65.1564756
0.375918367,39,900,0.715137173,0.057309016,19.4423535,65.1564756
0.563877551,39,900,0.715137173,0.057309016,19.43532844,65.1564756
1.315714286,33,300,0.712001754,0.057493758,19.5456292,65.15943581
1.127755102,33,300,0.712001754,0.057493758,19.58423949,65.16231119
1.691632653,33,300,0.712001754,0.057493758,19.43454935,65.16248926
0.751836735,39,900,0.715137173,0.057309016,19.42078567,65.16268662
1.315714286,38,500,0.716040432,0.057852752,19.26738396,65.16305954
1.503673469,33,300,0.712001754,0.057493758,19.49629514,65.16962092
0.939795918,39,900,0.715137173,0.057309016,19.39879704,65.1703794
1.315714286,39,900,0.715137173,0.057309016,19.32798431,65.17569317
2.443469388,36,600,0.717891205,0.062500116,18.67612568,65.17876803
1.127755102,39,900,0.715137173,0.057309016,19.36798844,65.17898021
0.751836735,40,300,0.717477488,0.056978387,19.26303701,65.17910364
0.563877551,40,300,0.717477488,0.056978387,19.27534198,65.17925364
0,40,300,0.717477488,0.056978387,19.28537865,65.17932786
0.187959184,40,300,0.717477488,0.056978387,19.28499231,65.17932786
0.375918367,40,300,0.717477488,0.056978387,19.28240151,65.17932786
1.503673469,38,500,0.716040432,0.057852752,19.2172616,65.18002013
1.691632653,38,800,0.716247225,0.058596666,19.13983094,65.1848038
1.879591837,33,300,0.712001754,0.057493758,19.36009417,65.18513444
0.939795918,40,300,0.717477488,0.056978387,19.2411909,65.18712585
1.691632653,36,1000,0.715604862,0.057741051,19.19105765,65.19137676
0.751836735,40,1000,0.719709797,0.056765804,19.10872246,65.19376908
0.375918367,40,1000,0.719709797,0.056765804,19.13032626,65.19398485
0.563877551,40,1000,0.719709797,0.056765804,19.12333852,65.19398485
0,40,1000,0.719709797,0.056765804,19.13299817,65.19402108
0.187959184,40,1000,0.719709797,0.056765804,19.13269098,65.19402108
1.127755102,40,300,0.717477488,0.056978387,19.21024401,65.19549338
1.879591837,38,200,0.715051213,0.05987299,19.17444933,65.19914186
1.879591837,36,1000,0.715604862,0.057741051,19.11952095,65.19958524
0.939795918,40,1000,0.719709797,0.056765804,19.08628594,65.20000026
1.503673469,30,900,0.71390263,0.05756257,19.36029635,65.201515
2.443469388,39,500,0.712237647,0.059758876,19.10610882,65.2070782
1.127755102,40,1000,0.719709797,0.056765804,19.05771509,65.20793917
1.691632653,30,900,0.71390263,0.05756257,19.29551104,65.20940292
1.315714286,40,300,0.717477488,0.056978387,19.17030574,65.21372675
2.06755102,36,1000,0.715604862,0.057741051,19.03771361,65.21673434
1.879591837,38,800,0.716247225,0.058596666,19.068521,65.21769561
1.127755102,37,900,0.714910728,0.056393645,19.3867478,65.21801462
0.939795918,37,1000,0.715689466,0.056403599,19.36306004,65.21858284
0.375918367,37,1000,0.715689466,0.056403599,19.40454347,65.21904374
0.563877551,37,1000,0.715689466,0.056403599,19.39733346,65.21904374
0.751836735,37,1000,0.715689466,0.056403599,19.38331869,65.21904374
0,37,1000,0.715689466,0.056403599,19.40743155,65.2190558
0.187959184,37,1000,0.715689466,0.056403599,19.40714847,65.2190558
2.631428571,34,900,0.720926848,0.061502864,18.3520533,65.21936148
0.751836735,37,900,0.714910728,0.056393645,19.4370399,65.21950449
0.939795918,37,900,0.714910728,0.056393645,19.41559222,65.21950449
0.187959184,37,900,0.714910728,0.056393645,19.46028193,65.2197354
0.375918367,37,900,0.714910728,0.056393645,19.45768844,65.2197354
0.563877551,37,900,0.714910728,0.056393645,19.45036632,65.2197354
0,37,900,0.714910728,0.056393645,19.46058924,65.21974379
1.503673469,39,900,0.715137173,0.057309016,19.27923167,65.2198373
1.127755102,32,900,0.714176669,0.056371007,19.43679,65.22013962
0.939795918,32,900,0.714176669,0.056371007,19.46561405,65.2206885
0.375918367,32,900,0.714176669,0.056371007,19.50775967,65.22128673
0.563877551,32,900,0.714176669,0.056371007,19.5006081,65.22128673
0.751836735,32,900,0.714176669,0.056371007,19.48786805,65.22128673
0,32,900,0.714176669,0.056371007,19.51069715,65.22130846
0.187959184,32,900,0.714176669,0.056371007,19.51039435,65.22130846
1.315714286,40,1000,0.719709797,0.056765804,19.01914875,65.22772061
2.06755102,38,200,0.715051213,0.05987299,19.09523073,65.23029294
1.691632653,38,500,0.716040432,0.057852752,19.15874369,65.23033164
1.127755102,36,900,0.716840125,0.056184871,19.25528621,65.23294927
0.939795918,36,900,0.716840125,0.056184871,19.28499515,65.23362097
0.751836735,36,900,0.716840125,0.056184871,19.30508532,65.2340103
0.563877551,36,900,0.716840125,0.056184871,19.31935204,65.23412989
0,36,900,0.716840125,0.056184871,19.32888592,65.23417371
0.187959184,36,900,0.716840125,0.056184871,19.32857816,65.23417371
0.375918367,36,900,0.716840125,0.056184871,19.32613877,65.23417371
1.315714286,37,900,0.714910728,0.056393645,19.34567697,65.23754575
1.503673469,37,1000,0.715689466,0.056403599,19.24036726,65.24189437
1.315714286,36,900,0.716840125,0.056184871,19.21258417,65.24280546
1.315714286,37,1000,0.715689466,0.056403599,19.28894872,65.24456156
1.127755102,37,1000,0.715689466,0.056403599,19.33268826,65.24590304
1.879591837,38,500,0.716040432,0.057852752,19.09097782,65.24753531
1.503673469,40,1000,0.719709797,0.056765804,18.97269214,65.24929775
1.503673469,36,900,0.716840125,0.056184871,19.16337112,65.25206662
0,27,500,0.711874038,0.055920042,19.66787791,65.25247805
0.187959184,27,500,0.711874038,0.055920042,19.66757494,65.25247805
2.255510204,38,800,0.716247225,0.058596666,18.91018478,65.2550372
0.751836735,27,500,0.711874038,0.055920042,19.64530372,65.2552006
0.563877551,27,500,0.711874038,0.055920042,19.65848233,65.25529651
0.375918367,27,500,0.711874038,0.055920042,19.66518304,65.2553749
1.503673469,40,300,0.717477488,0.056978387,19.11825279,65.26001069
1.691632653,37,1000,0.715689466,0.056403599,19.17983376,65.2620241
1.127755102,27,500,0.711874038,0.055920042,19.5922518,65.26238823
0.939795918,27,500,0.711874038,0.055920042,19.62344271,65.26364394
1.315714286,32,900,0.714176669,0.056371007,19.39571708,65.26522631
1.691632653,40,1000,0.719709797,0.056765804,18.91502752,65.26973217
1.315714286,27,500,0.711874038,0.055920042,19.55440228,65.27020332
1.503673469,32,900,0.714176669,0.056371007,19.35134328,65.27083712
2.255510204,36,1000,0.715604862,0.057741051,18.94776214,65.27400742
1.503673469,37,900,0.714910728,0.056393645,19.29553081,65.27478843
1.691632653,36,900,0.716840125,0.056184871,19.10448881,65.2766645
0.939795918,27,1000,0.71785976,0.055530568,19.2139373,65.27882576
2.819387755,40,600,0.709852783,0.064463997,19.0614595,65.27923544
0.751836735,27,1000,0.71785976,0.055530568,19.23573808,65.27926713
0,27,1000,0.71785976,0.055530568,19.25928428,65.27939755
0.187959184,27,1000,0.71785976,0.055530568,19.25900118,65.27939755
0.375918367,27,1000,0.71785976,0.055530568,19.25646805,65.27939755
0.563877551,27,1000,0.71785976,0.055530568,19.24968555,65.27939755
1.691632653,40,300,0.717477488,0.056978387,19.05871539,65.28107652
0.751836735,40,900,0.711173481,0.055498336,19.69054431,65.28120806
0.563877551,40,900,0.711173481,0.055498336,19.7054275,65.28153986
0,40,900,0.711173481,0.055498336,19.71569893,65.28162534
0.187959184,40,900,0.711173481,0.055498336,19.71537952,65.28162534
0.375918367,40,900,0.711173481,0.055498336,19.71283545,65.28162534
2.06755102,33,300,0.712001754,0.057493758,19.27957819,65.283799
0,35,1000,0.719886392,0.055450023,19.12094358,65.28496461
0.187959184,35,1000,0.719886392,0.055450023,19.1206546,65.28496461
0.375918367,35,1000,0.719886392,0.055450023,19.11822438,65.28496461
0.563877551,35,1000,0.719886392,0.055450023,19.11095552,65.28496461
0.751836735,35,1000,0.719886392,0.055450023,19.0983674,65.28496461
1.315714286,27,1000,0.71785976,0.055530568,19.14165049,65.28699358
1.127755102,27,1000,0.71785976,0.055530568,19.1815041,65.28780141
0.751836735,40,800,0.716875249,0.055396377,19.30311612,65.28817285
0.563877551,40,800,0.716875249,0.055396377,19.31710879,65.28857147
0.375918367,40,800,0.716875249,0.055396377,19.32375811,65.28863567
0,40,800,0.716875249,0.055396377,19.32648837,65.28867251
0.187959184,40,800,0.716875249,0.055396377,19.32635624,65.28867251
2.06755102,38,800,0.716247225,0.058596666,18.98819259,65.28978958
0.751836735,30,500,0.715161918,0.055364884,19.42151479,65.29007785
0.563877551,30,500,0.715161918,0.055364884,19.43437747,65.29045961
0.375918367,30,500,0.715161918,0.055364884,19.44061103,65.29081179
0,30,500,0.715161918,0.055364884,19.44344267,65.29084918
0.187959184,30,500,0.715161918,0.055364884,19.44310679,65.29084918
1.127755102,40,800,0.716875249,0.055396377,19.25148319,65.29527426
1.503673469,40,800,0.716875249,0.055396377,19.16090587,65.29547213
0.939795918,40,800,0.716875249,0.055396377,19.28162966,65.29644563
0.939795918,40,900,0.711173481,0.055498336,19.66958442,65.29683484
1.127755102,30,500,0.715161918,0.055364884,19.37199725,65.29745431
0.939795918,30,500,0.715161918,0.055364884,19.40029773,65.29830455
1.127755102,35,1000,0.719886392,0.055450023,19.04674196,65.30064446
0.939795918,35,1000,0.719886392,0.055450023,19.07597416,65.30120538
2.255510204,38,200,0.715051213,0.05987299,19.00844819,65.30167096
1.315714286,40,800,0.716875249,0.055396377,19.21342395,65.3027213
0.751836735,35,600,0.711900364,0.055163484,19.64179141,65.3041221
0.563877551,35,600,0.711900364,0.055163484,19.655915,65.30471849
0,35,600,0.711900364,0.055163484,19.6660809,65.3047695
0.187959184,35,600,0.711900364,0.055163484,19.66579291,65.3047695
0.375918367,35,600,0.711900364,0.055163484,19.66326527,65.3047695
1.879591837,40,1000,0.719709797,0.056765804,18.84714754,65.30494413
1.503673469,27,500,0.711874038,0.055920042,19.50619942,65.30553444
1.127755102,40,900,0.711173481,0.055498336,19.6419206,65.30570857
2.06755102,30,900,0.71390263,0.05756257,19.13797582,65.30602187
1.503673469,27,1000,0.71785976,0.055530568,19.09183503,65.31123374
0.939795918,35,600,0.711900364,0.055163484,19.62192224,65.31225862
1.315714286,30,500,0.715161918,0.055364884,19.33262023,65.31704012
0.939795918,37,200,0.713164559,0.054969131,19.53580471,65.31751916
0.563877551,37,200,0.713164559,0.054969131,19.56955586,65.31809254
0.751836735,37,200,0.713164559,0.054969131,19.55568236,65.31809254
0.375918367,37,200,0.713164559,0.054969131,19.57658574,65.31816645
0.187959184,37,200,0.713164559,0.054969131,19.57933564,65.31819993
0,37,200,0.713164559,0.054969131,19.57978522,65.31820269
1.315714286,35,1000,0.719886392,0.055450023,19.00768208,65.32057345
1.127755102,35,600,0.711900364,0.055163484,19.59112982,65.32088293
1.503673469,40,900,0.711173481,0.055498336,19.55448004,65.3214236
2.255510204,33,300,0.712001754,0.057493758,19.1960542,65.32220661
2.255510204,30,900,0.71390263,0.05756257,19.03937797,65.32291454
1.315714286,40,900,0.711173481,0.055498336,19.60144581,65.32570806
2.06755102,38,500,0.716040432,0.057852752,19.02360034,65.32612092
1.691632653,39,900,0.715137173,0.057309016,19.21799952,65.32641457
1.879591837,30,900,0.71390263,0.05756257,19.22014331,65.32642663
1.315714286,35,600,0.711900364,0.055163484,19.54979088,65.32979415
1.879591837,40,300,0.717477488,0.056978387,18.98883307,65.33089023
